seqnames,start,end,width,strand,Conc,Conc_E50h,Conc_GM3D,Fold,p.value,FDR,feature_id,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,distanceToTSS
3,17703063,17703655,593,*,9.02,9.32,8.63,0.7,9.46e-8,4.33e-7,E50h_GM3D_14354,Promoter (2-3kb),3,17697942,17700833,2892,2,AT3G47960,-2230
2,16050941,16053240,2300,*,10.68,10.4,10.91,-0.51,9.47e-8,4.34e-7,E50h_GM3D_10018,Promoter (<=1kb),2,16050063,16051168,1106,1,AT2G38310,878
3,22453334,22453944,611,*,9.64,9.93,9.29,0.64,9.48e-8,4.34e-7,E50h_GM3D_15573,Promoter (<=1kb),3,22447245,22453364,6120,2,AT3G60740,0
1,19724331,19724757,427,*,6.93,7.49,6,1.49,9.51e-8,4.35e-7,E50h_GM3D_4034,Promoter (<=1kb),1,19724222,19724588,367,1,AT1G52942,109
3,74459,74648,190,*,6.06,4.78,6.73,-1.95,9.53e-8,4.36e-7,E50h_GM3D_11008,Promoter (<=1kb),3,73481,75538,2058,1,AT3G01220,978
1,12376297,12376813,517,*,6.94,7.47,6.1,1.38,9.57e-8,4.38e-7,E50h_GM3D_3057,Promoter (1-2kb),1,12378033,12378188,156,1,AT1G34041,-1220
3,19952502,19953409,908,*,7.81,7.2,8.24,-1.04,9.58e-8,4.38e-7,E50h_GM3D_14967,Promoter (<=1kb),3,19953173,19955290,2118,1,AT3G53880,0
2,13289375,13289745,371,*,6.83,5.85,7.41,-1.56,9.62e-8,4.4e-7,E50h_GM3D_9270,Promoter (1-2kb),2,13286721,13288176,1456,2,AT2G31180,-1199
2,5981599,5981995,397,*,8.2,8.6,7.65,0.95,9.64e-8,4.41e-7,E50h_GM3D_7489,Promoter (<=1kb),2,5977356,5981899,4544,2,AT2G14170,0
1,29814025,29816239,2215,*,10.24,9.91,10.51,-0.6,9.7e-8,4.43e-7,E50h_GM3D_6585,Promoter (<=1kb),1,29815506,29819104,3599,1,AT1G79270,0
5,14707912,14708485,574,*,8.52,9.18,7.28,1.89,9.72e-8,4.44e-7,E50h_GM3D_22509,Promoter (2-3kb),5,14705426,14708376,2951,1,AT5G37160,2486
1,26919807,26920554,748,*,8.47,8.84,7.96,0.88,9.8e-8,4.48e-7,E50h_GM3D_5819,Promoter (<=1kb),1,26917822,26920099,2278,2,AT1G71420,0
4,10328108,10328798,691,*,8.32,7.78,8.71,-0.93,9.84e-8,4.5e-7,E50h_GM3D_17638,Promoter (1-2kb),4,10330371,10334268,3898,1,AT4G18820,-1573
5,8032731,8033039,309,*,6.25,5.08,6.89,-1.81,9.9e-8,4.53e-7,E50h_GM3D_21756,Promoter (<=1kb),5,8033738,8034930,1193,1,AT5G23830,-699
1,9325875,9326582,708,*,9.48,9.1,9.79,-0.69,9.93e-8,4.54e-7,E50h_GM3D_2271,Promoter (<=1kb),1,9327156,9327251,96,1,AT1G26916,-574
4,16859628,16860549,922,*,9.13,9.43,8.75,0.68,9.95e-8,4.55e-7,E50h_GM3D_19249,Promoter (1-2kb),4,16860452,16862372,1921,2,AT4G35510,1823
3,5820225,5820564,340,*,7.14,6.35,7.64,-1.29,9.96e-8,4.55e-7,E50h_GM3D_12404,Promoter (<=1kb),3,5820961,5823199,2239,1,AT3G17070,-397
2,15287491,15287862,372,*,8.18,8.55,7.67,0.88,1e-7,4.59e-7,E50h_GM3D_9797,Promoter (<=1kb),2,15286498,15288990,2493,1,AT2G36420,993
2,15631824,15632017,194,*,6.54,5.56,7.12,-1.56,1.01e-7,4.6e-7,E50h_GM3D_9897,Downstream (2-3kb),2,15634525,15636409,1885,2,AT2G37220,4392
3,7629027,7629725,699,*,8.64,8.98,8.21,0.77,1.01e-7,4.61e-7,E50h_GM3D_12840,Promoter (<=1kb),3,7626757,7629151,2395,2,AT3G21670,0
5,26624480,26624667,188,*,6.46,5.38,7.07,-1.69,1.01e-7,4.62e-7,E50h_GM3D_25562,Promoter (<=1kb),5,26625080,26626793,1714,1,AT5G66690,-413
3,7153587,7154134,548,*,7.24,7.73,6.5,1.23,1.02e-7,4.63e-7,E50h_GM3D_12726,Promoter (<=1kb),3,7151387,7153398,2012,2,AT3G20480,-189
1,654855,655426,572,*,7.06,6.22,7.58,-1.36,1.02e-7,4.65e-7,E50h_GM3D_189,Promoter (<=1kb),1,653765,654343,579,2,AT1G02900,-512
3,2570826,2571133,308,*,6.64,7.21,5.68,1.53,1.02e-7,4.65e-7,E50h_GM3D_11605,Promoter (1-2kb),3,2566277,2572151,5875,2,AT3G08040,1018
4,10973900,10974500,601,*,7.67,7.05,8.1,-1.05,1.02e-7,4.65e-7,E50h_GM3D_17778,Promoter (<=1kb),4,10974463,10979464,5002,1,AT4G20320,0
5,9180914,9181310,397,*,7.02,7.55,6.18,1.38,1.02e-7,4.66e-7,E50h_GM3D_22037,Promoter (<=1kb),5,9179752,9180539,788,2,AT5G26233,-375
5,20343999,20344398,400,*,7.07,7.58,6.29,1.29,1.02e-7,4.67e-7,E50h_GM3D_23874,Promoter (<=1kb),5,20342587,20345133,2547,2,AT5G50000,735
2,7984772,7985256,485,*,7.38,7.86,6.66,1.2,1.03e-7,4.67e-7,E50h_GM3D_7878,Promoter (<=1kb),2,7982868,7984096,1229,2,AT2G18380,-676
1,11978288,11979662,1375,*,10.4,10.63,10.13,0.5,1.03e-7,4.69e-7,E50h_GM3D_2981,Promoter (<=1kb),1,11975340,11978521,3182,2,AT1G33060,0
3,20725522,20726263,742,*,10.25,10.52,9.93,0.6,1.03e-7,4.7e-7,E50h_GM3D_15141,Promoter (<=1kb),3,20721720,20725893,4174,2,AT3G55850,0
3,10458536,10460042,1507,*,9.73,9.41,9.98,-0.58,1.03e-7,4.71e-7,E50h_GM3D_13561,Promoter (1-2kb),3,10461763,10462827,1065,1,AT3G28110,-1721
3,22426254,22426529,276,*,6.93,7.46,6.1,1.36,1.03e-7,4.71e-7,E50h_GM3D_15563,Promoter (<=1kb),3,22424512,22426288,1777,2,AT3G60670,0
1,22159133,22159538,406,*,6.89,5.98,7.44,-1.47,1.03e-7,4.71e-7,E50h_GM3D_4588,Promoter (<=1kb),1,22160099,22162419,2321,1,AT1G60095,-561
4,8313402,8313631,230,*,6.27,6.91,5.11,1.8,1.04e-7,4.75e-7,E50h_GM3D_17112,Promoter (<=1kb),4,8314078,8318830,4753,1,AT4G14460,-447
5,13925645,13925994,350,*,6.75,7.3,5.85,1.46,1.04e-7,4.75e-7,E50h_GM3D_22424,Promoter (<=1kb),5,13922569,13925272,2704,2,AT5G35753,-373
3,19538851,19539166,316,*,7.68,8.11,7.04,1.07,1.04e-7,4.76e-7,E50h_GM3D_14849,Promoter (<=1kb),3,19532195,19538403,6209,2,AT3G52700,-448
5,15514434,15515234,801,*,10.08,10.35,9.75,0.61,1.05e-7,4.76e-7,E50h_GM3D_22676,Promoter (<=1kb),5,15513025,15514305,1281,2,AT5G38740,-129
1,3997690,3998391,702,*,8.04,7.47,8.45,-0.98,1.05e-7,4.77e-7,E50h_GM3D_937,Promoter (<=1kb),1,3999199,3999876,678,1,AT1G11850,-808
3,3874582,3876612,2031,*,9.42,9.7,9.07,0.63,1.05e-7,4.79e-7,E50h_GM3D_11920,Promoter (<=1kb),3,3874499,3876237,1739,2,AT3G12145,0
5,288846,291686,2841,*,10.18,10.43,9.87,0.55,1.05e-7,4.79e-7,E50h_GM3D_19823,Promoter (<=1kb),5,289765,291326,1562,1,AT5G01750,0
3,18647442,18648050,609,*,8.21,8.6,7.68,0.92,1.05e-7,4.8e-7,E50h_GM3D_14603,Promoter (1-2kb),3,18648151,18649521,1371,2,AT3G50310,1471
2,11649004,11649336,333,*,7.61,8.05,6.97,1.08,1.06e-7,4.82e-7,E50h_GM3D_8819,Promoter (<=1kb),2,11649154,11649998,845,1,AT2G27229,0
2,16573170,16574105,936,*,8.42,7.9,8.79,-0.89,1.06e-7,4.82e-7,E50h_GM3D_10143,Promoter (<=1kb),2,16570746,16573548,2803,2,AT2G39730,0
2,9283892,9284397,506,*,7.61,8.11,6.85,1.26,1.07e-7,4.85e-7,E50h_GM3D_8206,Promoter (<=1kb),2,9284034,9284105,72,1,AT2G21760,0
5,1093900,1094102,203,*,6.74,7.31,5.78,1.54,1.08e-7,4.92e-7,E50h_GM3D_20037,Promoter (<=1kb),5,1093679,1094230,552,1,AT5G04045,221
5,6529568,6531782,2215,*,10.34,10.56,10.08,0.48,1.08e-7,4.92e-7,E50h_GM3D_21377,Promoter (<=1kb),5,6526807,6530592,3786,2,AT5G19380,0
4,8974527,8974955,429,*,8.16,7.6,8.56,-0.96,1.08e-7,4.92e-7,E50h_GM3D_17285,Promoter (<=1kb),4,8972649,8974690,2042,2,AT4G15760,0
2,9771373,9771673,301,*,6.61,7.2,5.59,1.61,1.09e-7,4.93e-7,E50h_GM3D_8336,Promoter (<=1kb),2,9770700,9771553,854,2,AT2G22955,0
5,21605703,21605916,214,*,6.24,6.88,5.07,1.8,1.09e-7,4.94e-7,E50h_GM3D_24211,Promoter (<=1kb),5,21604662,21605674,1013,2,AT5G53260,-29
2,12145342,12146011,670,*,9.43,9.71,9.08,0.63,1.09e-7,4.95e-7,E50h_GM3D_8958,Promoter (1-2kb),2,12139580,12143465,3886,2,AT2G28390,-1877
1,6786987,6787716,730,*,8.4,8.76,7.92,0.84,1.09e-7,4.96e-7,E50h_GM3D_1631,Promoter (<=1kb),1,6785427,6787967,2541,2,AT1G19630,251
1,27864231,27864559,329,*,6.29,5.18,6.91,-1.73,1.09e-7,4.96e-7,E50h_GM3D_6063,Promoter (1-2kb),1,27864345,27865694,1350,2,AT1G74100,1135
5,18881747,18883509,1763,*,8.83,9.21,8.31,0.9,1.1e-7,4.98e-7,E50h_GM3D_23496,Promoter (<=1kb),5,18877192,18882347,5156,2,AT5G46540,0
5,20706571,20707431,861,*,9.23,9.52,8.86,0.67,1.1e-7,4.99e-7,E50h_GM3D_23963,Promoter (<=1kb),5,20704804,20706778,1975,2,AT5G50900,0
5,24691307,24691542,236,*,5.92,4.54,6.62,-2.07,1.1e-7,4.99e-7,E50h_GM3D_25040,Promoter (<=1kb),5,24689151,24691095,1945,2,AT5G61420,-212
4,10148675,10149217,543,*,9.14,9.48,8.69,0.79,1.1e-7,5e-7,E50h_GM3D_17582,Promoter (<=1kb),4,10145919,10148682,2764,2,AT4G18360,0
1,9777642,9779254,1613,*,10.43,10.66,10.16,0.49,1.11e-7,5.05e-7,E50h_GM3D_2392,Promoter (<=1kb),1,9775528,9777810,2283,2,AT1G28050,0
4,6462436,6463244,809,*,7.69,7.09,8.12,-1.03,1.12e-7,5.09e-7,E50h_GM3D_16660,Promoter (<=1kb),4,6459728,6461932,2205,2,AT4G10440,-504
5,90490,91423,934,*,8.69,8.26,9.02,-0.76,1.12e-7,5.1e-7,E50h_GM3D_19779,Promoter (<=1kb),5,91920,92324,405,1,AT5G01225,-497
3,9831952,9832621,670,*,8.33,8.7,7.82,0.89,1.13e-7,5.1e-7,E50h_GM3D_13406,Promoter (<=1kb),3,9831036,9831858,823,1,AT3G26742,916
3,8389114,8389457,344,*,6.34,6.96,5.21,1.75,1.13e-7,5.11e-7,E50h_GM3D_13048,Promoter (1-2kb),3,8386273,8387324,1052,2,AT3G23420,-1790
1,4833218,4833768,551,*,7.26,6.56,7.74,-1.18,1.13e-7,5.12e-7,E50h_GM3D_1159,Promoter (1-2kb),1,4833518,4835089,1572,2,AT1G14120,1321
2,13215707,13215992,286,*,5.81,6.53,4.32,2.21,1.13e-7,5.13e-7,E50h_GM3D_9246,Promoter (2-3kb),2,13213100,13218724,5625,2,AT2G31060,2732
3,6476959,6477779,821,*,8.88,8.47,9.19,-0.72,1.13e-7,5.14e-7,E50h_GM3D_12583,Promoter (<=1kb),3,6477699,6479548,1850,1,AT3G18790,0
5,7738470,7738993,524,*,8.06,7.53,8.45,-0.92,1.14e-7,5.14e-7,E50h_GM3D_21678,Promoter (<=1kb),5,7736590,7738535,1946,2,AT5G23060,0
3,15190123,15190946,824,*,8.77,9.1,8.35,0.75,1.14e-7,5.16e-7,E50h_GM3D_13921,Promoter (<=1kb),3,15190934,15196168,5235,1,AT3G43210,0
2,7896444,7897681,1238,*,9.33,8.96,9.63,-0.67,1.14e-7,5.17e-7,E50h_GM3D_7848,Promoter (1-2kb),2,7898012,7899242,1231,2,AT2G18160,1561
4,12487709,12488493,785,*,8.31,8.67,7.82,0.85,1.14e-7,5.18e-7,E50h_GM3D_18151,Promoter (<=1kb),4,12488183,12491235,3053,1,AT4G24040,0
3,20493223,20493870,648,*,7.09,6.34,7.58,-1.24,1.14e-7,5.18e-7,E50h_GM3D_15080,Promoter (2-3kb),3,20496081,20500019,3939,1,AT3G55270,-2211
1,1395980,1396472,493,*,7.46,7.93,6.77,1.16,1.15e-7,5.18e-7,E50h_GM3D_351,Promoter (<=1kb),1,1391502,1395864,4363,2,AT1G04920,-116
3,21693552,21694085,534,*,8.17,7.64,8.56,-0.92,1.15e-7,5.18e-7,E50h_GM3D_15384,Promoter (<=1kb),3,21686741,21693841,7101,2,AT3G58640,0
4,7390825,7391316,492,*,7.31,7.78,6.62,1.16,1.15e-7,5.18e-7,E50h_GM3D_16892,Promoter (<=1kb),4,7391277,7396509,5233,1,AT4G12460,0
3,8263632,8264586,955,*,9.08,8.69,9.38,-0.69,1.15e-7,5.18e-7,E50h_GM3D_13009,Promoter (<=1kb),3,8264650,8265060,411,2,AT3G23165,474
5,23067361,23067914,554,*,9.22,9.51,8.86,0.65,1.15e-7,5.19e-7,E50h_GM3D_24624,Promoter (<=1kb),5,23068037,23070412,2376,1,AT5G57010,-123
2,11107872,11109384,1513,*,8.47,8.82,8,0.82,1.15e-7,5.2e-7,E50h_GM3D_8696,Promoter (<=1kb),2,11105672,11107188,1517,2,AT2G26070,-684
3,5992885,5993302,418,*,7.41,6.71,7.87,-1.16,1.15e-7,5.2e-7,E50h_GM3D_12452,Promoter (<=1kb),3,5988991,5992912,3922,2,AT3G17510,0
2,18964046,18965332,1287,*,10.3,10.53,10.03,0.49,1.17e-7,5.27e-7,E50h_GM3D_10792,Promoter (<=1kb),2,18965313,18967213,1901,1,AT2G46170,0
5,15392923,15393372,450,*,7.03,6.22,7.54,-1.32,1.17e-7,5.27e-7,E50h_GM3D_22645,Promoter (2-3kb),5,15390223,15390624,402,1,AT5G38440,2700
5,4628815,4630192,1378,*,8.69,8.24,9.03,-0.79,1.17e-7,5.27e-7,E50h_GM3D_20905,Promoter (<=1kb),5,4627140,4628703,1564,2,AT5G14350,-112
1,7637748,7638623,876,*,8.36,7.89,8.71,-0.82,1.17e-7,5.27e-7,E50h_GM3D_1846,Promoter (2-3kb),1,7641002,7641094,93,2,AT1G21738,2471
5,7626931,7627372,442,*,8.36,8.72,7.88,0.84,1.17e-7,5.28e-7,E50h_GM3D_21648,Promoter (<=1kb),5,7623440,7626975,3536,2,AT5G22820,0
1,28646452,28648646,2195,*,9.58,9.86,9.24,0.62,1.17e-7,5.3e-7,E50h_GM3D_6273,Promoter (<=1kb),1,28643038,28646712,3675,2,AT1G76360,0
2,10045093,10045361,269,*,6.17,5.02,6.8,-1.78,1.17e-7,5.3e-7,E50h_GM3D_8411,Promoter (1-2kb),2,10044179,10046532,2354,2,AT2G23610,1171
2,15092074,15094071,1998,*,9.79,8.65,10.42,-1.77,1.18e-7,5.32e-7,E50h_GM3D_9734,Promoter (<=1kb),2,15088832,15092415,3584,2,AT2G35940,0
2,16297263,16297469,207,*,6.83,7.37,5.94,1.43,1.18e-7,5.32e-7,E50h_GM3D_10076,Promoter (<=1kb),2,16298227,16299202,976,1,AT2G39030,-758
1,5286464,5287001,538,*,7.9,8.3,7.34,0.96,1.19e-7,5.35e-7,E50h_GM3D_1293,Promoter (<=1kb),1,5287047,5288577,1531,1,AT1G15370,-46
5,14870575,14871157,583,*,8.02,8.41,7.49,0.92,1.19e-7,5.36e-7,E50h_GM3D_22533,Promoter (<=1kb),5,14870836,14871153,318,2,AT5G37473,0
1,11814144,11814574,431,*,6.99,7.51,6.15,1.36,1.19e-7,5.36e-7,E50h_GM3D_2940,Promoter (1-2kb),1,11815664,11815976,313,1,AT1G32670,-1090
2,6491373,6491755,383,*,6.64,7.22,5.65,1.57,1.19e-7,5.37e-7,E50h_GM3D_7552,Promoter (1-2kb),2,6491434,6493352,1919,2,AT2G15020,1597
3,14877784,14878280,497,*,7.25,7.76,6.43,1.33,1.2e-7,5.39e-7,E50h_GM3D_13907,Promoter (1-2kb),3,14876476,14877255,780,1,AT3G42786,1308
3,10453235,10453585,351,*,6.63,5.7,7.19,-1.48,1.2e-7,5.41e-7,E50h_GM3D_13558,Promoter (1-2kb),3,10451486,10455267,3782,1,AT3G28080,1749
1,2818416,2818925,510,*,6.82,5.87,7.38,-1.52,1.21e-7,5.43e-7,E50h_GM3D_665,Promoter (<=1kb),1,2813061,2818008,4948,2,AT1G08800,-408
3,5207960,5209008,1049,*,9.07,9.37,8.69,0.68,1.21e-7,5.45e-7,E50h_GM3D_12244,Promoter (<=1kb),3,5207577,5208359,783,2,AT3G15420,0
4,9969095,9969263,169,*,6.9,7.45,5.97,1.48,1.21e-7,5.46e-7,E50h_GM3D_17534,Promoter (<=1kb),4,9966990,9969232,2243,2,AT4G17950,0
1,24508113,24508634,522,*,7.38,7.89,6.59,1.3,1.21e-7,5.46e-7,E50h_GM3D_5152,Promoter (1-2kb),1,24504725,24506342,1618,2,AT1G65875,-1771
4,55639,57387,1749,*,10.43,10.66,10.15,0.52,1.21e-7,5.46e-7,E50h_GM3D_15841,Promoter (1-2kb),4,57199,59286,2088,2,AT4G00150,1899
2,8877124,8877367,244,*,5.81,4.41,6.51,-2.1,1.22e-7,5.51e-7,E50h_GM3D_8099,Promoter (<=1kb),2,8876490,8876732,243,1,AT2G20605,634
3,11606669,11606927,259,*,6.3,6.91,5.21,1.71,1.22e-7,5.51e-7,E50h_GM3D_13774,Promoter (<=1kb),3,11604027,11606698,2672,2,AT3G29767,0
1,540151,540384,234,*,6.01,4.76,6.67,-1.91,1.22e-7,5.51e-7,E50h_GM3D_152,Promoter (<=1kb),1,541335,542240,906,1,AT1G02570,-951
1,25556032,25556415,384,*,7.72,8.17,7.08,1.09,1.24e-7,5.56e-7,E50h_GM3D_5420,Promoter (<=1kb),1,25556426,25558522,2097,1,AT1G68185,-11
4,7038206,7038497,292,*,6,4.71,6.66,-1.95,1.24e-7,5.56e-7,E50h_GM3D_16799,Promoter (<=1kb),4,7038585,7039923,1339,1,AT4G11655,-88
1,1248747,1249349,603,*,7.95,8.36,7.37,0.99,1.24e-7,5.57e-7,E50h_GM3D_324,Promoter (<=1kb),1,1246728,1248775,2048,2,AT1G04570,0
2,18372248,18372961,714,*,8.85,8.45,9.16,-0.72,1.24e-7,5.57e-7,E50h_GM3D_10617,Promoter (1-2kb),2,18374292,18376790,2499,1,AT2G44500,-1331
4,14893576,14894304,729,*,8.74,9.07,8.33,0.74,1.24e-7,5.57e-7,E50h_GM3D_18785,Promoter (<=1kb),4,14894105,14896815,2711,1,AT4G30470,0
2,17837252,17838670,1419,*,10.22,10.44,9.94,0.5,1.24e-7,5.58e-7,E50h_GM3D_10476,Promoter (<=1kb),2,17836416,17837250,835,2,AT2G42870,-2
1,18071409,18072571,1163,*,8.53,8.88,8.06,0.82,1.24e-7,5.6e-7,E50h_GM3D_3688,Promoter (<=1kb),1,18068707,18071466,2760,2,AT1G48860,0
1,13466786,13467097,312,*,7.27,7.75,6.57,1.18,1.25e-7,5.6e-7,E50h_GM3D_3224,3' UTR,1,13466911,13470936,4026,2,AT1G36070,3839
5,9246885,9248409,1525,*,8.98,8.57,9.29,-0.72,1.25e-7,5.61e-7,E50h_GM3D_22054,Promoter (<=1kb),5,9243511,9247066,3556,2,AT5G26340,0
3,11902110,11902397,288,*,5.84,6.56,4.33,2.23,1.25e-7,5.61e-7,E50h_GM3D_13808,Distal Intergenic,3,11909119,11912880,3762,1,AT3G30260,-6722
3,5907021,5907313,293,*,7.45,7.93,6.71,1.22,1.26e-7,5.67e-7,E50h_GM3D_12429,Promoter (<=1kb),3,5907234,5908893,1660,1,AT3G17300,0
1,20024293,20024460,168,*,5.72,6.45,4.14,2.31,1.27e-7,5.69e-7,E50h_GM3D_4109,Promoter (1-2kb),1,20020885,20025461,4577,2,AT1G53640,1001
4,14827063,14828923,1861,*,10.16,10.4,9.87,0.53,1.27e-7,5.7e-7,E50h_GM3D_18761,Promoter (<=1kb),4,14825808,14827047,1240,2,AT4G30280,-16
4,7931842,7932067,226,*,6.3,5.18,6.92,-1.74,1.28e-7,5.74e-7,E50h_GM3D_17024,Promoter (<=1kb),4,7932138,7933542,1405,1,AT4G13620,-71
5,3270826,3271814,989,*,8.29,7.77,8.66,-0.89,1.3e-7,5.86e-7,E50h_GM3D_20562,Promoter (<=1kb),5,3270289,3270952,664,2,AT5G10400,0
5,8771861,8772221,361,*,8.19,8.56,7.69,0.86,1.31e-7,5.87e-7,E50h_GM3D_21941,Promoter (1-2kb),5,8773789,8776000,2212,1,AT5G25280,-1568
3,5796635,5797495,861,*,9.25,9.56,8.85,0.71,1.31e-7,5.89e-7,E50h_GM3D_12399,Promoter (<=1kb),3,5795834,5796850,1017,2,AT3G16990,0
1,27527655,27528174,520,*,7.39,7.85,6.72,1.13,1.31e-7,5.9e-7,E50h_GM3D_5990,Promoter (<=1kb),1,27523454,27526718,3265,2,AT1G73200,-937
1,3442103,3442833,731,*,8.22,7.68,8.62,-0.94,1.32e-7,5.92e-7,E50h_GM3D_814,Promoter (1-2kb),1,3442327,3443957,1631,2,AT1G10470,1124
3,22604269,22604640,372,*,6.85,6.01,7.37,-1.36,1.32e-7,5.94e-7,E50h_GM3D_15600,Promoter (1-2kb),3,22602910,22604582,1673,1,AT3G61060,1359
5,13892934,13893893,960,*,8.71,9.04,8.28,0.76,1.33e-7,5.95e-7,E50h_GM3D_22415,Promoter (<=1kb),5,13893707,13896974,3268,1,AT5G35730,0
4,14516871,14517482,612,*,7.89,8.3,7.33,0.97,1.33e-7,5.99e-7,E50h_GM3D_18667,Promoter (<=1kb),4,14517448,14518329,882,1,AT4G29610,0
2,12834858,12835046,189,*,6.97,7.48,6.17,1.31,1.34e-7,5.99e-7,E50h_GM3D_9146,Promoter (<=1kb),2,12834993,12838626,3634,1,AT2G30070,0
2,738208,738430,223,*,6.49,7.09,5.46,1.63,1.34e-7,6.01e-7,E50h_GM3D_6916,Promoter (<=1kb),2,738504,739769,1266,1,AT2G02660,-74
5,18524144,18525226,1083,*,9.55,9.23,9.82,-0.6,1.34e-7,6.01e-7,E50h_GM3D_23402,Promoter (<=1kb),5,18525071,18527007,1937,1,AT5G45660,0
1,8719220,8720267,1048,*,8.94,9.25,8.55,0.7,1.34e-7,6.02e-7,E50h_GM3D_2131,Promoter (<=1kb),1,8720309,8720721,413,1,AT1G24600,-42
5,21975096,21975720,625,*,8.34,8.7,7.85,0.84,1.34e-7,6.02e-7,E50h_GM3D_24327,Promoter (1-2kb),5,21975785,21977104,1320,2,AT5G54148,1384
2,9338151,9338619,469,*,7.12,7.63,6.31,1.32,1.35e-7,6.03e-7,E50h_GM3D_8217,Promoter (<=1kb),2,9339167,9339477,311,1,AT2G21905,-548
3,17091761,17093358,1598,*,9.18,8.77,9.49,-0.71,1.35e-7,6.04e-7,E50h_GM3D_14223,Promoter (<=1kb),3,17089045,17091875,2831,2,AT3G46440,0
2,380905,381289,385,*,8.08,7.56,8.46,-0.9,1.35e-7,6.06e-7,E50h_GM3D_6824,Promoter (2-3kb),2,373125,378447,5323,2,AT2G01840,-2458
2,355507,355887,381,*,6.52,5.53,7.1,-1.57,1.35e-7,6.06e-7,E50h_GM3D_6814,Promoter (<=1kb),2,353457,355522,2066,2,AT2G01818,0
1,27404733,27405080,348,*,7.58,8.03,6.94,1.09,1.36e-7,6.07e-7,E50h_GM3D_5962,Promoter (1-2kb),1,27402878,27404673,1796,1,AT1G72820,1855
3,10941328,10942210,883,*,9.46,9.1,9.74,-0.65,1.36e-7,6.07e-7,E50h_GM3D_13661,Promoter (<=1kb),3,10940446,10941833,1388,2,AT3G28920,0
5,6290032,6290435,404,*,6.67,5.76,7.23,-1.47,1.36e-7,6.07e-7,E50h_GM3D_21311,Promoter (<=1kb),5,6290676,6295811,5136,1,AT5G18860,-241
3,7997279,7998786,1508,*,9.45,9.73,9.11,0.62,1.36e-7,6.08e-7,E50h_GM3D_12923,Promoter (<=1kb),3,7998857,7999533,677,2,AT3G22560,747
3,5868051,5868375,325,*,7.13,7.65,6.33,1.32,1.36e-7,6.09e-7,E50h_GM3D_12422,Promoter (<=1kb),3,5867392,5868181,790,1,AT3G17190,659
3,8899862,8900945,1084,*,9.58,9.24,9.86,-0.62,1.37e-7,6.11e-7,E50h_GM3D_13158,Promoter (1-2kb),3,8901154,8902638,1485,2,AT3G24480,1693
4,7802116,7802580,465,*,7.24,7.72,6.51,1.2,1.37e-7,6.15e-7,E50h_GM3D_16991,Promoter (<=1kb),4,7796850,7802251,5402,2,AT4G13420,0
5,2698104,2698943,840,*,8,7.43,8.41,-0.98,1.38e-7,6.15e-7,E50h_GM3D_20426,Promoter (<=1kb),5,2699301,2699784,484,1,AT5G08391,-358
4,6751467,6752277,811,*,7.9,8.31,7.32,0.99,1.38e-7,6.17e-7,E50h_GM3D_16727,Promoter (<=1kb),4,6747467,6751311,3845,2,AT4G11050,-156
5,6841038,6841413,376,*,7.12,7.61,6.36,1.25,1.38e-7,6.17e-7,E50h_GM3D_21456,Promoter (1-2kb),5,6840833,6842858,2026,2,AT5G20270,1445
2,11752171,11753072,902,*,9.77,9.45,10.04,-0.6,1.38e-7,6.17e-7,E50h_GM3D_8846,Promoter (<=1kb),2,11752170,11754028,1859,2,AT2G27500,956
4,16554129,16554892,764,*,8.24,8.61,7.73,0.88,1.39e-7,6.19e-7,E50h_GM3D_19161,Promoter (<=1kb),4,16553390,16554740,1351,1,AT4G34680,739
1,7656059,7656451,393,*,8.59,8.94,8.13,0.81,1.4e-7,6.25e-7,E50h_GM3D_1853,Promoter (<=1kb),1,7656120,7656191,72,2,AT1G21800,0
2,13875595,13876758,1164,*,10.13,10.38,9.84,0.55,1.4e-7,6.26e-7,E50h_GM3D_9422,Promoter (1-2kb),2,13876774,13878531,1758,2,AT2G32720,1773
5,3030654,3031465,812,*,9.1,8.71,9.4,-0.69,1.41e-7,6.28e-7,E50h_GM3D_20498,Promoter (<=1kb),5,3030817,3030889,73,2,AT5G09755,0
5,4340700,4341309,610,*,7.79,8.25,7.13,1.13,1.41e-7,6.28e-7,E50h_GM3D_20833,Promoter (<=1kb),5,4341262,4342095,834,1,AT5G13510,0
1,5737608,5737806,199,*,5.87,6.57,4.43,2.14,1.41e-7,6.28e-7,E50h_GM3D_1390,Promoter (<=1kb),1,5737878,5739377,1500,1,AT1G16770,-72
3,4371947,4372343,397,*,6.66,7.22,5.74,1.47,1.41e-7,6.29e-7,E50h_GM3D_12027,Promoter (<=1kb),3,4371470,4371987,518,1,AT3G13432,477
3,2699537,2700103,567,*,7.01,6.2,7.53,-1.32,1.42e-7,6.32e-7,E50h_GM3D_11636,Promoter (<=1kb),3,2696559,2699158,2600,2,AT3G08860,-379
3,20778537,20779181,645,*,8.93,9.24,8.52,0.72,1.42e-7,6.33e-7,E50h_GM3D_15155,Promoter (1-2kb),3,20780315,20783233,2919,1,AT3G55990,-1134
1,18755636,18756049,414,*,8.4,8.75,7.94,0.82,1.42e-7,6.34e-7,E50h_GM3D_3845,Promoter (1-2kb),1,18751456,18753669,2214,2,AT1G50630,-1967
